iter	Passed	Remaining
0	0	86
1	1	79
2	2	72
3	2	65
4	3	65
5	4	64
6	4	63
7	5	62
8	6	60
9	7	63
10	7	63
11	8	62
12	9	61
13	9	59
14	10	58
15	10	57
16	11	56
17	12	55
18	12	54
19	13	54
20	14	53
21	14	52
22	15	51
23	16	50
24	16	50
25	17	49
26	17	48
27	18	47
28	19	46
29	19	46
30	20	45
31	21	46
32	23	47
33	24	47
34	24	46
35	25	45
36	26	44
37	26	43
38	27	42
39	28	42
40	28	41
41	28	39
42	29	39
43	30	38
44	30	37
45	31	36
46	32	36
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	31
54	37	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	42	24
64	43	23
65	44	22
66	44	21
67	45	21
68	45	20
69	46	19
70	47	19
71	47	18
72	48	17
73	49	17
74	50	16
75	50	16
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	54	12
82	55	11
83	56	10
84	56	10
85	57	9
86	57	8
87	58	7
88	59	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	65	1
98	65	0
99	66	0
